Year,Institute,Opening Rank,Closing Rank
2021,Indian Institute of Technology Tirupati,1682,3441
2022,Indian Institute of Technology Tirupati,1133,4011
2016,Indian Institute of Technology (ISM) Dhanbad,1655,3479
2016,Institute of Technology Guru Ghasidas Vishwavidyalaya (A Central University) Bilaspur (C.G.),27420,40857
2017,Institute of Technology Guru Ghasidas Vishwavidyalaya (A Central University) Bilaspur (C.G.),25836,35325
2018,Institute of Technology Guru Ghasidas Vishwavidyalaya (A Central University) Bilaspur (C.G.),30937,40978
2020,Institute of Technology Guru Ghasidas Vishwavidyalaya (A Central University) Bilaspur (C.G.),38761,50376
2021,Institute of Technology Guru Ghasidas Vishwavidyalaya (A Central University) Bilaspur (C.G.),44312,59214
2022,Institute of Technology Guru Ghasidas Vishwavidyalaya (A Central University) Bilaspur (C.G.),30701,56486
2023,Institute of Technology Guru Ghasidas Vishwavidyalaya (A Central University) Bilaspur (C.G.),31305,58070
2018,International Institute of Information Technology Bhubaneswar,8376,21541
2020,International Institute of Information Technology Bhubaneswar,13344,19748
2021,International Institute of Information Technology Bhubaneswar,13315,21298
2022,International Institute of Information Technology Bhubaneswar,19444,25451
2023,International Institute of Information Technology Bhubaneswar,14662,28199
2017,International Institute of Information Technology Naya Raipur,8736,20142
2018,International Institute of Information Technology Naya Raipur,15469,21900
2020,International Institute of Information Technology Naya Raipur,10801,17473
2021,International Institute of Information Technology Naya Raipur,12202,18834
2022,International Institute of Information Technology Naya Raipur,14941,18038
2023,International Institute of Information Technology Naya Raipur,16123,19764
2016,J.K. Institute of Applied Physics & Technology Department of Electronics & Communication University of Allahabad- Allahabad,18536,32905
2017,J.K. Institute of Applied Physics & Technology Department of Electronics & Communication University of Allahabad- Allahabad,13185,29092
2018,J.K. Institute of Applied Physics & Technology Department of Electronics & Communication University of Allahabad- Allahabad,6272,33231
2020,J.K. Institute of Applied Physics & Technology Department of Electronics & Communication University of Allahabad- Allahabad,21563,39326
2021,J.K. Institute of Applied Physics & Technology Department of Electronics & Communication University of Allahabad- Allahabad,26989,45245
2022,J.K. Institute of Applied Physics & Technology Department of Electronics & Communication University of Allahabad- Allahabad,33890,44011
2023,J.K. Institute of Applied Physics & Technology Department of Electronics & Communication University of Allahabad- Allahabad,29970,47381
2022,North Eastern Regional Institute of Science and Technology Nirjuli-791109 (Itanagar)Arunachal Pradesh,44224,44224
2023,North Eastern Regional Institute of Science and Technology Nirjuli-791109 (Itanagar)Arunachal Pradesh,51525,51980
2020,Pondicherry Engineering College Puducherry,18515,37449
2021,Pondicherry Engineering College Puducherry,29246,42585
2016,Pt. Dwarka Prasad Mishra Indian Institute of Information Technology Design & Manufacture Jabalpur,9763,16901
2017,Pt. Dwarka Prasad Mishra Indian Institute of Information Technology Design & Manufacture Jabalpur,8611,14594
2018,Pt. Dwarka Prasad Mishra Indian Institute of Information Technology Design & Manufacture Jabalpur,10455,15050
2020,Pt. Dwarka Prasad Mishra Indian Institute of Information Technology Design & Manufacture Jabalpur,8921,15413
2021,Pt. Dwarka Prasad Mishra Indian Institute of Information Technology Design & Manufacture Jabalpur,7347,15755
2022,Pt. Dwarka Prasad Mishra Indian Institute of Information Technology Design & Manufacture Jabalpur,6801,13707
